,informant,start,end,filename,corpus,text,gender,age
Sib_01-f_0.0_1.31,Sib_01-f,0.0,1.31,./trimmed/Sib_01-f_0.0_1.31.wav,standart,"Меня зовут Ка-атя,",f,19
Sib_01-f_1.31_3.93,Sib_01-f,1.31,3.93,./trimmed/Sib_01-f_1.31_3.93.wav,standart,∙∙∙ {СМЕХ} ∙∙ {СМЕХ} (<И я спала> короче.),f,19
Sib_01-f_3.93_7.0,Sib_01-f,3.93,7.0,./trimmed/Sib_01-f_3.93_7.0.wav,standart,"∙∙ {СМЕХ} ∙∙ ээ вот,",f,19
Sib_01-f_7.0_8.1,Sib_01-f,7.0,8.1,./trimmed/Sib_01-f_7.0_8.1.wav,standart,"я из Казахста-ана,",f,19
Sib_01-f_8.1_10.4,Sib_01-f,8.1,10.4,./trimmed/Sib_01-f_8.1_10.4.wav,standart,и поэтому я всё лето провела в Казахстане.,f,19
Sib_01-f_10.4_11.7,Sib_01-f,10.4,11.7,./trimmed/Sib_01-f_10.4_11.7.wav,standart,"∙∙∙ Полина@,",f,19
Sib_01-f_11.7_12.3,Sib_01-f,11.7,12.3,./trimmed/Sib_01-f_11.7_12.3.wav,standart,молчи¡!,f,19
Sib_01-f_12.3_13.43,Sib_01-f,12.3,13.43,./trimmed/Sib_01-f_12.3_13.43.wav,standart,{СМЕХ} Вот.,f,19
Sib_01-f_13.43_15.91,Sib_01-f,13.43,15.91,./trimmed/Sib_01-f_13.43_15.91.wav,standart,"∙∙∙ ээ ∙∙ Когда я приехала,",f,19
Sib_01-f_15.91_17.69,Sib_01-f,15.91,17.69,./trimmed/Sib_01-f_15.91_17.69.wav,standart,"мы с друзьями решили сходить в горы,",f,19
Sib_01-f_17.69_20.42,Sib_01-f,17.69,20.42,./trimmed/Sib_01-f_17.69_20.42.wav,standart,"∙∙∙∙ ээ (*В= ‖ ’’ в горы мы ходили-и,",f,19
Sib_01-f_20.42_22.45,Sib_01-f,20.42,22.45,./trimmed/Sib_01-f_20.42_22.45.wav,standart,"у нас-с ∙∙ место называется Черкосай,",f,19
Sib_01-f_22.45_24.78,Sib_01-f,22.45,24.78,./trimmed/Sib_01-f_22.45_24.78.wav,standart,"∙∙∙ туда очень далеко идти вот,",f,19
Sib_01-f_24.78_26.14,Sib_01-f,24.78,26.14,./trimmed/Sib_01-f_24.78_26.14.wav,standart,"∙∙ и долго надо ехать,",f,19
Sib_01-f_26.14_28.13,Sib_01-f,26.14,28.13,./trimmed/Sib_01-f_26.14_28.13.wav,standart,"∙∙∙ {СМЕХ} ∙∙ вот,",f,19
Sib_01-f_28.13_30.86,Sib_01-f,28.13,30.86,./trimmed/Sib_01-f_28.13_30.86.wav,standart,"сначала мы долго ехали на-а ∙∙ машине,",f,19
Sib_01-f_30.86_31.65,Sib_01-f,30.86,31.65,./trimmed/Sib_01-f_30.86_31.65.wav,standart,∙∙ потом <кстати> ==,f,19
Sib_01-f_31.65_31.93,Sib_01-f,31.65,31.93,./trimmed/Sib_01-f_31.65_31.93.wav,standart,"ну,",f,19
Sib_01-f_31.93_32.95,Sib_01-f,31.93,32.95,./trimmed/Sib_01-f_31.93_32.95.wav,standart,"ну нас высадили,",f,19
